frame_number;seconds;resolution
609;24.36;640x480
610;24.4;640x480
611;24.44;640x480
612;24.48;640x480
613;24.52;640x480
614;24.56;640x480
615;24.6;640x480
616;24.64;640x480
617;24.68;640x480
618;24.72;640x480
619;24.76;640x480
620;24.8;640x480
621;24.84;640x480
622;24.88;640x480
623;24.92;640x480
624;24.96;640x480
625;25;640x480
626;25.04;640x480
627;25.08;640x480
628;25.12;640x480
629;25.16;640x480
630;25.2;640x480
631;25.24;640x480
632;25.28;640x480
633;25.32;640x480
634;25.36;640x480
635;25.4;640x480
636;25.44;640x480
637;25.48;640x480
638;25.52;640x480
639;25.56;640x480
640;25.6;640x480
641;25.64;640x480
642;25.68;640x480
643;25.72;640x480
644;25.76;640x480
645;25.8;640x480
646;25.84;640x480
647;25.88;640x480
648;25.92;640x480
649;25.96;640x480
650;26;640x480
651;26.04;640x480
652;26.08;640x480
653;26.12;640x480
654;26.16;640x480
655;26.2;640x480
656;26.24;640x480
657;26.28;640x480
658;26.32;640x480
659;26.36;640x480
660;26.4;640x480
661;26.44;640x480
662;26.48;640x480
663;26.52;640x480
664;26.56;640x480
665;26.6;640x480
666;26.64;640x480
667;26.68;640x480
668;26.72;640x480
669;26.76;640x480
670;26.8;640x480
671;26.84;640x480
672;26.88;640x480
673;26.92;640x480
674;26.96;640x480
675;27;640x480
676;27.04;640x480
677;27.08;640x480
678;27.12;640x480
679;27.16;640x480
680;27.2;640x480
681;27.24;640x480
682;27.28;640x480
683;27.32;640x480
684;27.36;640x480
685;27.4;640x480
686;27.44;640x480
687;27.48;640x480
688;27.52;640x480
689;27.56;640x480
690;27.6;640x480
691;27.64;640x480
692;27.68;640x480
693;27.72;640x480
694;27.76;640x480
695;27.8;640x480
696;27.84;640x480
697;27.88;640x480
698;27.92;640x480
699;27.96;640x480
700;28;640x480
701;28.04;640x480
702;28.08;640x480
703;28.12;640x480
704;28.16;640x480
705;28.2;640x480
706;28.24;640x480
707;28.28;640x480
708;28.32;640x480
709;28.36;640x480
710;28.4;640x480
711;28.44;640x480
712;28.48;640x480
713;28.52;640x480
714;28.56;640x480
715;28.6;640x480
716;28.64;640x480
717;28.68;640x480
718;28.72;640x480
